kaltmiete_listing,overpriced,floor,furnished,num_photos,total_floors,building_age_years,listing_date,wg_typ,year_built,priority_score,num_rooms,plz,balcony,days_online,living_area_m2,stadtteil,living_area_text,energieausweis,dist_uni_km,contact_type,heating_type,kitchen,dist_uni_min,elevator,clicks_last_week,listing_id,nebenkosten_eur
214,False,DG,unmöbliert,7,5,47,13.01.2026,Studenten-WG,1979,10,2.0,93051,ja,47,16.1,Dechbetten,16 m²,G,2.6,Privat,Öl,Einbauküche,10,ja,96,INS-2026-77788,194
413,False,2. OG,unmöbliert,3,2,119,16.05.2026,Frauen-WG,1907,5,2.0,93055,nein,44,30.1,Burgweinting,30.1 m2,G,8.0,Makler,Pellet,Pantry,33,nein,148,INS-2026-31234,97
468,True,EG,möbliert,23,1,117,26.06.2026,Studenten-WG,1909,7,2.0,93051,ja,12,19.7,Kumpfmühl,19.7 m2,D,10.6,Privat,Fernwärme,keine,42,nein,286,INS-2026-69862,100
501 warm,True,EG,teilmöbliert,9,2,117,12.05.2026,Frauen-WG,1909,3,2.0,93055,nein,38,20.0,Burgweinting,20 m²,B,3.3,Privat,Fernwärme,keine,13,nein,0,INS-2026-71173,124
341,False,Souterrain,möbliert,15,5,117,15.02.2026,Studenten-WG,1909,4,2.5,93049,nein,8,19.5,Westenviertel,20 m²,C,6.4,Privat,Öl,Pantry,25,nein,235,INS-2026-53008,74
264,True,DG,teilmöbliert,11,5,26,22.01.2026,gemischt,2000,1,1.5,93051,nein,83,10.4,Kumpfmühl,10 m²,B,3.2,Privat,Gasetagenheizung,Einbauküche,12,ja,121,INS-2026-25134,110
227,True,3. OG,unmöbliert,15,1,115,18.06.2026,Studenten-WG,1911,3,1.0,93055,nein,73,16.0,Burgweinting,"16,0 qm",B,10.6,Genossenschaft,Gasetagenheizung,keine,42,nein,46,INS-2026-16381,71
"305,00 EUR",False,3. OG,möbliert,23,1,45,21.02.2026,Studenten-WG,1981,4,3.0,93047,nein,55,16.8,Innenstadt,17 m²,A,7.5,Privat,Nachtspeicher,Pantry,29,nein,185,INS-2026-93351,47
kalt 160€,False,4. OG,unmöbliert,12,7,89,09.06.2026,gemischt,1937,3,2.0,93055,nein,16,16.2,Burgweinting,16.2 m2,E,11.2,Privat,Nachtspeicher,Pantry,45,nein,209,INS-2026-66605,103
820 warm,False,Souterrain,unmöbliert,3,2,25,19.05.2026,Studenten-WG,2001,3,2.0,93047,nein,32,29.9,Innenstadt,30 m²,B,1.5,Privat,Fernwärme,Pantry,6,ja,263,INS-2026-66157,127
613 warm,True,1. OG,unmöbliert,5,5,100,11.01.2026,gemischt,1926,2,3.0,93047,ja,38,19.5,Innenstadt,"19,5 qm",C,2.2,Makler,Gasetagenheizung,Pantry,9,nein,205,INS-2026-27045,120
308,False,DG,unmöbliert,20,5,38,30.01.2026,Studenten-WG,1988,4,1.0,93051,ja,23,28.0,Ziegetsdorf,28 m²,D,11.2,Makler,Öl,Einbauküche,45,nein,246,INS-2026-12497,118
378 €,True,DG,unmöbliert,21,3,60,13.05.2026,Studenten-WG,1966,4,1.0,93049,ja,41,19.5,Westenviertel,20 m²,F,8.6,Privat,Gasetagenheizung,Einbauküche,34,ja,293,INS-2026-92654,100
"373,00 EUR",False,2. OG,unmöbliert,19,2,94,13.02.2026,Frauen-WG,1932,7,3.0,93047,nein,63,19.1,Innenstadt,19 m²,E,3.0,Genossenschaft,Zentralheizung,Einbauküche,12,nein,290,INS-2026-87126,170
"415,00 EUR",True,2. OG,unmöbliert,18,1,84,22.01.2026,gemischt,1942,1,2.0,93053,ja,58,19.9,Kasernenviertel,"19,9 qm",D,10.7,Makler,Gasetagenheizung,Einbauküche,43,ja,102,INS-2026-66266,71
444 warm,False,4. OG,unmöbliert,11,4,30,04.01.2026,gemischt,1996,1,2.0,93055,nein,90,25.7,Burgweinting,"25,7 qm",B,8.8,Privat,Öl,Einbauküche,35,nein,124,INS-2026-58028,142
"173,00 EUR",False,3. OG,unmöbliert,19,2,46,24.04.2026,gemischt,1980,4,2.5,93051,ja,63,18.5,Dechbetten,18.5 m2,E,9.9,Privat,Pellet,keine,40,nein,226,INS-2026-29623,142
240,True,1. OG,teilmöbliert,7,5,19,28.04.2026,Studenten-WG,2007,8,2.0,93055,ja,61,16.7,Burgweinting,16.7 m2,G,8.2,Genossenschaft,Zentralheizung,keine,32,nein,195,INS-2026-95067,126
529 warm,True,4. OG,unmöbliert,22,1,61,14.02.2026,Frauen-WG,1965,8,2.0,93053,ja,60,17.9,Kasernenviertel,18 m²,E,6.4,Privat,Zentralheizung,Einbauküche,25,ja,68,INS-2026-97530,132
505 warm,False,3. OG,teilmöbliert,15,7,71,04.02.2026,Studenten-WG,1955,7,2.5,93055,ja,29,25.7,Burgweinting,"25,7 qm",F,1.9,Makler,Gasetagenheizung,Einbauküche,7,nein,173,INS-2026-34855,169
686 warm,False,Souterrain,unmöbliert,18,1,61,17.03.2026,gemischt,1965,10,2.5,93047,nein,54,27.6,Innenstadt,28 m²,C,4.3,Privat,Gasetagenheizung,Einbauküche,18,ja,225,INS-2026-70385,131
219 kalt,False,2. OG,teilmöbliert,20,3,22,09.03.2026,gemischt,2004,6,3.0,93051,nein,80,20.0,Ziegetsdorf,20.0 m2,D,7.5,Makler,Nachtspeicher,Einbauküche,31,nein,42,INS-2026-76480,72
527 warm,True,2. OG,teilmöbliert,20,7,32,19.06.2026,gemischt,1994,3,1.0,93059,nein,71,24.8,Reinhausen,25 m²,B,2.2,Privat,Gasetagenheizung,keine,8,nein,36,INS-2026-49088,75
348,False,DG,unmöbliert,10,6,69,31.05.2026,gemischt,1957,4,2.5,93053,ja,24,20.7,Kasernenviertel,"20,7 qm",C,2.1,Genossenschaft,Zentralheizung,Einbauküche,9,nein,99,INS-2026-44376,103
358,False,EG,unmöbliert,21,4,78,21.02.2026,Männer-WG,1948,9,2.0,93059,ja,1,19.2,Stadtamhof,19.2 m2,E,11.2,Privat,Gasetagenheizung,Einbauküche,44,ja,226,INS-2026-46262,75
437 €,False,2. OG,möbliert,23,7,58,29.06.2026,Frauen-WG,1968,5,2.0,93053,ja,88,23.5,Galgenberg,24 m²,G,10.1,Privat,Nachtspeicher,Einbauküche,40,ja,10,INS-2026-39427,88
629 warm,True,4. OG,möbliert,11,1,114,19.01.2026,Studenten-WG,1912,3,1.5,93047,ja,7,17.5,Innenstadt,"17,5 qm",B,5.9,Privat,Fernwärme,Einbauküche,24,nein,161,INS-2026-78371,142
273 kalt,False,1. OG,unmöbliert,14,4,22,04.05.2026,Studenten-WG,2004,7,1.5,93049,ja,4,15.6,Westenviertel,15.6 m2,G,6.6,Privat,Nachtspeicher,Einbauküche,27,nein,216,INS-2026-83708,57
402 €,False,4. OG,unmöbliert,19,4,49,11.06.2026,gemischt,1977,10,3.0,93047,ja,66,23.3,Innenstadt,23 m²,F,7.0,Makler,Gasetagenheizung,Pantry,27,nein,224,INS-2026-55618,132
"359,00 EUR",True,1. OG,teilmöbliert,17,1,12,16.04.2026,gemischt,2014,6,2.0,93055,ja,49,23.0,Burgweinting,"23,0 qm",E,10.7,Privat,Gasetagenheizung,Einbauküche,42,ja,155,INS-2026-83018,132
232,False,Souterrain,unmöbliert,22,1,37,05.02.2026,gemischt,1989,4,1.0,93051,nein,7,16.4,Kumpfmühl,"16,4 qm",G,4.3,Makler,Nachtspeicher,Einbauküche,17,nein,271,INS-2026-43475,136
317,True,4. OG,unmöbliert,5,1,98,03.01.2026,Studenten-WG,1928,3,1.5,93051,ja,18,20.4,Dechbetten,"20,4 qm",H,11.0,Privat,Fernwärme,Einbauküche,43,ja,248,INS-2026-95282,144
500 €,True,1. OG,unmöbliert,9,7,7,29.06.2026,gemischt,2019,6,1.0,93059,ja,89,18.9,Stadtamhof,"18,9 qm",C,7.4,Makler,Gasetagenheizung,Pantry,30,nein,223,INS-2026-58762,135
471 €,True,2. OG,unmöbliert,22,7,124,19.06.2026,Berufstätigen-WG,1902,3,1.0,93053,nein,5,22.0,Kasernenviertel,22.0 m2,D,7.2,Makler,Gasetagenheizung,Pantry,29,ja,12,INS-2026-24164,82
578,True,2. OG,teilmöbliert,2,2,103,11.01.2026,Berufstätigen-WG,1923,10,2.0,93059,nein,43,22.8,Stadtamhof,23 m²,B,2.1,Privat,Fernwärme,Pantry,8,nein,145,INS-2026-83785,51
"389,00 EUR",True,1. OG,teilmöbliert,17,2,123,26.06.2026,Studenten-WG,1903,3,2.0,93055,nein,65,22.0,Burgweinting,"22,0 qm",C,4.0,Makler,Fernwärme,keine,16,nein,246,INS-2026-89162,118
288 €,True,2. OG,teilmöbliert,4,2,15,26.01.2026,gemischt,2011,4,2.0,93051,nein,68,18.3,Dechbetten,18 m²,B,5.7,Makler,Zentralheizung,Einbauküche,22,nein,77,INS-2026-26975,67
258,False,4. OG,unmöbliert,24,2,42,03.06.2026,gemischt,1984,5,2.0,93059,nein,52,22.9,Reinhausen,"22,9 qm",H,8.8,Privat,Fernwärme,Pantry,35,nein,177,INS-2026-69175,160
"372,00 EUR",False,EG,möbliert,6,3,87,29.01.2026,gemischt,1939,10,2.0,93055,ja,52,26.6,Burgweinting,27 m²,C,9.8,Privat,Öl,Einbauküche,39,ja,4,INS-2026-54427,89
"644,00 EUR",True,DG,unmöbliert,12,1,12,18.04.2026,gemischt,2014,4,1.0,93047,nein,19,23.9,Innenstadt,23.9 m2,F,4.6,Privat,Fernwärme,Einbauküche,18,nein,88,INS-2026-79938,77
"210,00 EUR",False,DG,unmöbliert,19,5,10,23.01.2026,Studenten-WG,2016,3,3.0,93059,nein,13,16.4,Reinhausen,16 m²,D,2.9,Privat,Zentralheizung,Einbauküche,11,nein,260,INS-2026-67056,95
423 €,True,EG,teilmöbliert,11,5,87,25.01.2026,gemischt,1939,3,2.5,93049,ja,2,28.4,Großprüfening,28.4 m2,C,7.8,Makler,Gasetagenheizung,Einbauküche,30,nein,260,INS-2026-79801,118
260 €,True,2. OG,möbliert,19,3,122,07.05.2026,Frauen-WG,1904,7,2.5,93053,nein,70,11.9,Galgenberg,12 m²,A+,11.4,Privat,Nachtspeicher,Einbauküche,45,nein,190,INS-2026-60892,102
Kaltmiete: 392 €,True,EG,unmöbliert,17,3,15,27.05.2026,Studenten-WG,2011,4,1.0,93053,nein,48,18.3,Galgenberg,18.3 m2,G,2.5,Genossenschaft,Gasetagenheizung,Einbauküche,10,ja,292,INS-2026-41991,146
"541,00 EUR",True,1. OG,möbliert,4,1,117,06.03.2026,Studenten-WG,1909,10,2.0,93051,nein,77,26.7,Königswiesen,26.7 m2,D,4.6,Privat,Zentralheizung,Pantry,19,ja,286,INS-2026-33366,159
"337,00 EUR",False,Souterrain,möbliert,5,1,114,25.06.2026,Studenten-WG,1912,10,2.5,93059,nein,67,22.9,Reinhausen,"22,9 qm",B,11.2,Privat,Gasetagenheizung,Pantry,44,nein,222,INS-2026-72719,53
611 warm,True,3. OG,teilmöbliert,10,2,98,18.03.2026,Studenten-WG,1928,8,2.0,93053,nein,55,22.0,Galgenberg,22.0 m2,A+,8.3,Privat,Öl,Einbauküche,33,ja,91,INS-2026-10642,120
222 €,False,1. OG,teilmöbliert,13,2,58,06.04.2026,Studenten-WG,1968,1,2.0,93059,nein,25,11.2,Stadtamhof,"11,2 qm",B,3.3,Privat,Gasetagenheizung,Pantry,13,nein,247,INS-2026-24376,76
450 warm,True,3. OG,möbliert,25,7,125,09.02.2026,gemischt,1901,5,1.0,93049,nein,4,18.5,Großprüfening,18.5 m2,A,5.5,Privat,Zentralheizung,keine,22,ja,238,INS-2026-88102,105
347 warm,False,DG,unmöbliert,20,3,64,12.04.2026,gemischt,1962,9,2.0,93049,nein,81,18.9,Karthaus-Prüll,19 m²,E,4.9,Makler,Zentralheizung,Pantry,20,nein,78,INS-2026-61297,104
705 warm,True,EG,möbliert,18,5,43,20.01.2026,Studenten-WG,1983,9,1.0,93051,nein,24,28.9,Kumpfmühl,29 m²,F,11.4,Privat,Fernwärme,Einbauküche,45,nein,156,INS-2026-65011,72
464 €,True,DG,unmöbliert,13,4,45,23.03.2026,gemischt,1981,7,1.0,93049,ja,85,21.0,Westenviertel,"21,0 qm",E,1.8,Privat,Zentralheizung,Pantry,7,ja,83,INS-2026-29619,148
"343,00 EUR",True,3. OG,unmöbliert,18,2,51,07.04.2026,gemischt,1975,7,1.0,93051,ja,55,19.4,Königswiesen,"19,4 qm",B,1.9,Privat,Gasetagenheizung,Pantry,8,ja,29,INS-2026-52189,85
317,True,2. OG,möbliert,7,4,75,09.06.2026,Frauen-WG,1951,4,2.0,93051,nein,10,21.5,Ziegetsdorf,21.5 m2,C,10.0,Privat,Fernwärme,Einbauküche,40,ja,180,INS-2026-95076,141
Kaltmiete: 372 €,False,1. OG,unmöbliert,11,7,23,31.03.2026,gemischt,2003,4,2.5,93049,ja,9,24.4,Karthaus-Prüll,24.4 m2,C,9.8,Privat,Nachtspeicher,Einbauküche,39,nein,0,INS-2026-18174,71
515 kalt,False,2. OG,unmöbliert,16,1,58,23.01.2026,Studenten-WG,1968,5,2.0,93053,ja,60,28.2,Kasernenviertel,"28,2 qm",A,10.5,Privat,Gasetagenheizung,keine,42,nein,127,INS-2026-47226,114
158,True,EG,möbliert,22,1,114,04.05.2026,gemischt,1912,6,2.5,93049,ja,38,10.9,Großprüfening,11 m²,G,4.1,Privat,Öl,keine,17,ja,270,INS-2026-29471,87
228,False,EG,unmöbliert,17,3,9,11.05.2026,Studenten-WG,2017,4,1.5,93051,nein,70,17.8,Ziegetsdorf,"17,8 qm",H,8.5,Makler,Öl,Einbauküche,34,ja,26,INS-2026-31159,137
252 €,False,1. OG,teilmöbliert,22,2,39,24.02.2026,Studenten-WG,1987,6,1.5,93051,nein,78,14.6,Kumpfmühl,15 m²,C,9.5,Privat,Zentralheizung,Einbauküche,38,nein,35,INS-2026-72073,146
"363,00 EUR",True,3. OG,möbliert,19,6,117,03.02.2026,gemischt,1909,1,3.0,93051,nein,90,19.0,Kumpfmühl,19.0 m2,F,10.1,Makler,Pellet,Einbauküche,41,nein,89,INS-2026-34663,124
718 warm,True,1. OG,unmöbliert,13,5,7,23.05.2026,gemischt,2019,3,2.0,93047,ja,8,20.1,Innenstadt,20 m²,F,2.2,Privat,Öl,Einbauküche,9,nein,45,INS-2026-34467,153
388 warm,False,3. OG,unmöbliert,7,4,44,20.02.2026,gemischt,1982,4,1.0,93055,nein,90,28.5,Burgweinting,28.5 m2,E,10.1,Privat,Nachtspeicher,Pantry,40,ja,107,INS-2026-73188,47
271,True,1. OG,teilmöbliert,10,5,6,23.04.2026,gemischt,2020,4,2.5,93051,nein,72,18.4,Dechbetten,18 m²,A,7.6,Privat,Öl,Einbauküche,30,nein,151,INS-2026-12118,100
368 €,True,EG,teilmöbliert,2,1,29,08.03.2026,Studenten-WG,1997,10,2.0,93049,ja,89,21.2,Karthaus-Prüll,"21,2 qm",A,6.1,Privat,Nachtspeicher,Einbauküche,24,ja,62,INS-2026-65730,88
564 €,True,Souterrain,möbliert,2,6,52,22.06.2026,Frauen-WG,1974,4,2.0,93051,nein,74,34.0,Königswiesen,34 m²,C,3.0,Genossenschaft,Gasetagenheizung,keine,12,nein,9,INS-2026-83931,96
kalt 273€,False,1. OG,möbliert,13,6,40,07.01.2026,gemischt,1986,9,3.0,93051,ja,66,14.5,Kumpfmühl,14.5 m2,F,5.0,Privat,Pellet,Einbauküche,21,ja,249,INS-2026-75600,85
509 €,False,EG,möbliert,9,6,92,04.05.2026,Frauen-WG,1934,3,2.5,93047,ja,56,22.3,Innenstadt,22.3 m2,E,9.1,Privat,Nachtspeicher,Einbauküche,36,nein,180,INS-2026-91083,80
576,True,2. OG,unmöbliert,22,2,111,25.03.2026,gemischt,1915,6,1.0,93055,ja,70,29.3,Ostenviertel,29 m²,D,3.8,Makler,Zentralheizung,Einbauküche,17,nein,150,INS-2026-73255,162
"216,00 EUR",False,Souterrain,möbliert,22,1,26,26.01.2026,Studenten-WG,2000,7,3.0,93051,nein,28,17.3,Ziegetsdorf,17.3 m2,D,4.5,Privat,Zentralheizung,Pantry,18,ja,260,INS-2026-77531,122
378,False,2. OG,unmöbliert,15,6,75,26.01.2026,gemischt,1951,7,1.0,93051,ja,59,22.0,Kumpfmühl,22 m²,F,6.6,Privat,Zentralheizung,keine,26,nein,192,INS-2026-19290,176
276 €,False,1. OG,unmöbliert,12,7,38,29.04.2026,gemischt,1988,3,2.0,93049,ja,80,20.3,Karthaus-Prüll,20 m²,H,9.8,Genossenschaft,Öl,Einbauküche,38,ja,124,INS-2026-52960,100
542 €,True,1. OG,teilmöbliert,14,7,114,28.05.2026,Frauen-WG,1912,8,3.0,93047,nein,79,22.2,Innenstadt,22 m²,F,9.2,Privat,Fernwärme,Einbauküche,36,ja,142,INS-2026-26041,106
"451,00 EUR",False,2. OG,unmöbliert,20,7,76,18.02.2026,gemischt,1950,8,2.0,93049,nein,34,33.6,Westenviertel,33.6 m2,D,8.6,Privat,Nachtspeicher,Einbauküche,34,nein,90,INS-2026-86560,100
"360,00 EUR",False,2. OG,möbliert,16,5,65,19.05.2026,Männer-WG,1961,2,2.0,93055,ja,81,25.7,Burgweinting,26 m²,C,7.7,Makler,Nachtspeicher,Pantry,31,ja,9,INS-2026-23214,92
309 €,False,DG,unmöbliert,14,7,57,22.01.2026,gemischt,1969,7,3.0,93051,ja,35,20.2,Königswiesen,20 m²,C,7.4,Privat,Zentralheizung,Einbauküche,29,ja,222,INS-2026-30108,67
"449,00 EUR",True,2. OG,teilmöbliert,19,4,19,14.02.2026,gemischt,2007,3,1.0,93049,nein,31,26.6,Großprüfening,"26,6 qm",D,7.7,Privat,Pellet,Einbauküche,31,nein,189,INS-2026-56531,55
319 kalt,True,1. OG,möbliert,3,5,105,03.04.2026,gemischt,1921,2,2.5,93053,ja,2,12.9,Kasernenviertel,"12,9 qm",D,6.5,Makler,Nachtspeicher,Einbauküche,25,nein,248,INS-2026-99718,118
311 €,False,EG,unmöbliert,9,4,32,15.03.2026,gemischt,1994,1,2.0,93055,ja,28,22.4,Burgweinting,"22,4 qm",D,8.1,Makler,Öl,Einbauküche,33,ja,256,INS-2026-52630,169
556 warm,True,2. OG,unmöbliert,15,6,84,06.04.2026,Berufstätigen-WG,1942,2,1.0,93053,ja,58,22.1,Kasernenviertel,22.1 m2,C,6.2,Makler,Gasetagenheizung,keine,25,ja,140,INS-2026-80684,80
202,True,3. OG,teilmöbliert,14,6,10,15.05.2026,Studenten-WG,2016,1,2.0,93051,ja,22,11.5,Königswiesen,12 m²,G,4.2,Genossenschaft,Öl,keine,17,ja,156,INS-2026-51010,161
560 warm,False,2. OG,unmöbliert,16,1,77,12.06.2026,Studenten-WG,1949,9,3.0,93051,nein,43,31.0,Kumpfmühl,31 m²,C,8.0,Privat,Zentralheizung,keine,31,nein,80,INS-2026-76303,123
685 warm,True,3. OG,unmöbliert,7,7,12,28.06.2026,Berufstätigen-WG,2014,7,2.0,93053,nein,24,23.1,Galgenberg,"23,1 qm",D,2.8,Privat,Gasetagenheizung,Pantry,10,ja,256,INS-2026-89645,106
205 €,False,EG,teilmöbliert,12,4,72,08.05.2026,Studenten-WG,1954,5,2.0,93051,nein,28,20.3,Dechbetten,20.3 m2,F,8.8,Genossenschaft,Öl,Pantry,36,nein,4,INS-2026-70249,119
414,False,EG,unmöbliert,4,2,76,17.05.2026,Berufstätigen-WG,1950,9,1.5,93053,nein,53,21.2,Galgenberg,21.2 m2,A+,3.7,Makler,Zentralheizung,Pantry,16,ja,7,INS-2026-45917,87
301,True,EG,möbliert,6,5,17,30.01.2026,Frauen-WG,2009,4,3.0,93059,ja,84,15.7,Reinhausen,"15,7 qm",A+,7.8,Genossenschaft,Gasetagenheizung,Einbauküche,31,nein,223,INS-2026-88020,54
237 €,True,2. OG,unmöbliert,16,4,99,20.02.2026,Männer-WG,1927,7,2.0,93055,ja,52,14.4,Ostenviertel,14 m²,D,10.9,Privat,Zentralheizung,Pantry,43,nein,126,INS-2026-46891,148
31 €,False,DG,unmöbliert,5,7,124,11.01.2026,Studenten-WG,1902,10,3.0,93049,nein,39,19.7,Westenviertel,19.7 m2,A,7.5,Makler,Öl,Einbauküche,30,ja,57,INS-2026-95714,64
352,True,DG,teilmöbliert,3,7,96,17.05.2026,Studenten-WG,1930,1,1.0,93055,nein,83,21.2,Ostenviertel,21 m²,D,3.1,Privat,Pellet,Pantry,13,nein,63,INS-2026-82265,65
"371,00 EUR",False,3. OG,unmöbliert,9,5,75,24.02.2026,Frauen-WG,1951,8,2.0,93049,ja,59,31.8,Großprüfening,"31,8 qm",D,9.8,Privat,Gasetagenheizung,Einbauküche,39,nein,151,INS-2026-75697,154
344 warm,False,2. OG,unmöbliert,14,7,71,03.01.2026,Studenten-WG,1955,4,3.0,93051,nein,70,18.6,Kumpfmühl,18.6 m2,G,4.7,Privat,Nachtspeicher,keine,18,nein,269,INS-2026-75947,111
384 €,True,1. OG,teilmöbliert,19,7,117,29.04.2026,Studenten-WG,1909,8,2.5,93055,ja,60,21.2,Ostenviertel,21.2 m2,C,8.5,Makler,Gasetagenheizung,Einbauküche,34,nein,14,INS-2026-69558,108
370 €,True,3. OG,möbliert,5,2,40,26.03.2026,Studenten-WG,1986,7,1.5,93051,ja,17,18.6,Königswiesen,19 m²,D,8.1,Privat,Pellet,Pantry,33,ja,196,INS-2026-20217,111
"464,00 EUR",True,DG,unmöbliert,25,7,9,02.04.2026,Studenten-WG,2017,1,2.0,93053,ja,10,16.3,Galgenberg,16 m²,A+,2.1,Makler,Fernwärme,Einbauküche,9,ja,126,INS-2026-66020,58
412 €,True,2. OG,unmöbliert,6,7,101,03.01.2026,gemischt,1925,5,2.0,93051,nein,49,21.2,Kumpfmühl,"21,2 qm",F,5.5,Privat,Gasetagenheizung,Einbauküche,22,ja,142,INS-2026-97746,113
638 warm,True,4. OG,möbliert,11,3,89,07.04.2026,Studenten-WG,1937,2,1.5,93049,ja,8,20.8,Westenviertel,21 m²,E,11.1,Privat,Zentralheizung,Einbauküche,43,ja,127,INS-2026-65125,158
"781,00 EUR",True,2. OG,möbliert,2,6,105,03.06.2026,Berufstätigen-WG,1921,2,1.0,93047,nein,73,22.4,Innenstadt,22.4 m2,F,3.4,Privat,Zentralheizung,Einbauküche,15,nein,150,INS-2026-79400,99
579,True,EG,unmöbliert,25,7,26,03.05.2026,gemischt,2000,2,2.0,93053,nein,33,26.9,Galgenberg,26.9 m2,B,2.7,Makler,Zentralheizung,Pantry,11,nein,195,INS-2026-94279,112
"410,00 EUR",True,1. OG,teilmöbliert,23,2,42,04.03.2026,gemischt,1984,8,3.0,93055,ja,18,28.9,Burgweinting,28.9 m2,F,1.0,Privat,Zentralheizung,Einbauküche,5,nein,73,INS-2026-96031,145
481 warm,False,EG,unmöbliert,24,4,82,23.01.2026,Studenten-WG,1944,6,1.5,93059,nein,7,18.8,Stadtamhof,18.8 m2,B,11.0,Makler,Gasetagenheizung,Pantry,44,nein,245,INS-2026-71563,82
684,True,3. OG,möbliert,12,4,56,28.04.2026,Studenten-WG,1970,3,2.0,93053,nein,32,29.9,Kasernenviertel,30 m²,B,2.6,Privat,Zentralheizung,Einbauküche,11,ja,212,INS-2026-35505,118
213 €,True,EG,unmöbliert,18,7,80,12.03.2026,gemischt,1946,1,2.0,93055,nein,12,12.4,Ostenviertel,12 m²,H,2.7,Privat,Pellet,Einbauküche,11,nein,184,INS-2026-52155,112
538 €,True,DG,möbliert,11,6,98,24.02.2026,gemischt,1928,6,1.0,93053,ja,88,19.3,Galgenberg,"19,3 qm",C,10.2,Makler,Gasetagenheizung,keine,42,ja,194,INS-2026-70420,96
299 warm,False,1. OG,unmöbliert,21,6,96,08.04.2026,gemischt,1930,2,3.0,93049,nein,2,17.4,Großprüfening,"17,4 qm",A,10.8,Privat,Zentralheizung,Einbauküche,42,ja,150,INS-2026-67340,73
287,False,1. OG,teilmöbliert,21,1,37,17.01.2026,gemischt,1989,8,2.5,93053,nein,32,14.6,Kasernenviertel,"14,6 qm",B,5.4,Makler,Zentralheizung,Einbauküche,22,ja,296,INS-2026-66837,56
621 warm,True,1. OG,möbliert,9,2,20,04.03.2026,Studenten-WG,2006,5,1.0,93051,ja,87,17.5,Kumpfmühl,"17,5 qm",D,3.9,Privat,Zentralheizung,Einbauküche,16,nein,293,INS-2026-60726,129
535 warm,False,2. OG,teilmöbliert,19,1,18,07.05.2026,Studenten-WG,2008,5,3.0,93051,ja,34,26.0,Kumpfmühl,"26,0 qm",D,4.8,Makler,Gasetagenheizung,Pantry,18,nein,223,INS-2026-89420,119
220,False,4. OG,unmöbliert,22,5,89,28.01.2026,gemischt,1937,3,2.0,93049,ja,37,17.1,Großprüfening,17 m²,B,1.9,Privat,Öl,Einbauküche,7,nein,20,INS-2026-87854,137
435,True,2. OG,teilmöbliert,19,7,98,31.01.2026,Studenten-WG,1928,10,2.0,93053,ja,35,18.0,Galgenberg,18.0 m2,F,5.8,Privat,Fernwärme,Einbauküche,22,ja,30,INS-2026-85652,84
340,True,1. OG,möbliert,13,2,26,29.05.2026,gemischt,2000,4,3.0,93051,ja,75,18.6,Königswiesen,"18,6 qm",H,8.6,Genossenschaft,Fernwärme,Pantry,35,nein,240,INS-2026-74229,94
350,False,2. OG,unmöbliert,22,6,43,14.04.2026,Berufstätigen-WG,1983,5,2.5,93051,ja,47,21.8,Königswiesen,"21,8 qm",B,2.4,Privat,Zentralheizung,Pantry,9,ja,271,INS-2026-27112,121
"514,00 EUR",True,1. OG,möbliert,23,2,109,31.05.2026,Studenten-WG,1917,7,1.5,93049,nein,31,22.5,Karthaus-Prüll,"22,5 qm",B,9.9,Privat,Gasetagenheizung,Einbauküche,40,nein,19,INS-2026-28858,136
574 warm,True,EG,möbliert,18,2,95,25.05.2026,Studenten-WG,1931,2,1.5,93049,nein,33,23.2,Westenviertel,23.2 m2,B,6.0,Makler,Zentralheizung,Pantry,24,nein,289,INS-2026-54892,69
297,False,DG,unmöbliert,2,6,105,24.06.2026,Studenten-WG,1921,6,2.0,93055,nein,79,18.6,Ostenviertel,19 m²,A+,8.9,Privat,Gasetagenheizung,Pantry,36,ja,42,INS-2026-34469,126
535,False,DG,teilmöbliert,15,5,91,10.01.2026,Männer-WG,1935,1,3.0,93053,nein,61,26.1,Galgenberg,26.1 m2,E,6.1,Makler,Zentralheizung,Einbauküche,25,ja,274,INS-2026-18667,83
478 €,True,EG,teilmöbliert,14,5,9,18.05.2026,Studenten-WG,2017,1,2.0,93051,ja,50,20.7,Kumpfmühl,"20,7 qm",B,7.5,Makler,Fernwärme,Einbauküche,31,ja,34,INS-2026-84321,64
412,True,3. OG,möbliert,22,4,28,21.05.2026,Frauen-WG,1998,7,2.0,93059,ja,80,24.9,Reinhausen,"24,9 qm",D,10.5,Genossenschaft,Gasetagenheizung,keine,42,nein,27,INS-2026-24462,105
334 warm,False,3. OG,unmöbliert,6,6,46,30.01.2026,gemischt,1980,2,3.0,93053,nein,81,15.9,Galgenberg,16 m²,F,9.4,Makler,Öl,Pantry,37,nein,197,INS-2026-13690,135
"302,00 EUR",True,Souterrain,möbliert,13,4,2,15.05.2026,gemischt,2024,3,2.0,93049,nein,28,14.4,Westenviertel,14 m²,D,3.5,Privat,Öl,Einbauküche,14,ja,11,INS-2026-10921,105
335 kalt,True,2. OG,teilmöbliert,6,6,126,08.06.2026,Berufstätigen-WG,1900,10,2.0,93051,nein,7,20.4,Ziegetsdorf,"20,4 qm",D,7.9,Privat,Zentralheizung,Pantry,32,ja,228,INS-2026-49538,60
426 €,False,3. OG,teilmöbliert,11,1,89,03.05.2026,gemischt,1937,10,3.0,93053,ja,25,22.9,Galgenberg,"22,9 qm",C,3.0,Privat,Zentralheizung,Einbauküche,12,nein,82,INS-2026-62281,78
